"y_variable","x_variable","Term","Estimate","Lower","Upper"
"obese_dxa","age","age20_39",1.36106920995986,1.24005231819643,1.49392818596009
"obese_dxa","age","age40_59",2.10342816869821,1.92194424310889,2.30256559690334
"obese_dxa","smoke","(Intercept)",0.334788029926153,0.303373766360178,0.368868590311668
"obese_dxa","smoke","smokePast",2.07806805390732,1.7887773728768,2.41469351573218
"obese_dxa","smoke","smokeSmoker",1.68840124235394,1.47056987295479,1.93917561969862
"obese_dxa","edu","(Intercept)",0.566929133858298,0.507943845700945,0.632066975128935
"obese_dxa","edu","eduHighSchool",1.2347222222222,1.0662726194859,1.43029521507545
"obese_dxa","edu","eduSomeCollege",1.20008317858246,1.04754955985194,1.37559789875347
"obese_dxa","edu","eduCollegePlus",0.899338527717024,0.78013564321891,1.03704633127093
"obese_dxa","income","(Intercept)",0.537362637362658,0.504222148531972,0.572449715401133
"obese_dxa","income","income35k_75k",1.04033514800634,0.946685736383911,1.14317061472322
"obese_dxa","income","income75k+",0.785981009523268,0.707046130837227,0.873316534866307
"ipd_obese_bmi","race","(Intercept)",0.527718376490402,0.495625470199515,0.561889373388257
"ipd_obese_bmi","race","raceBlack",0.834201794708742,0.755436752188895,0.921179214909682
"ipd_obese_bmi","race","raceAsian",0.647914717063413,0.570547139607546,0.735773525875739
"ipd_obese_bmi","race","raceHispanic",1.2498434437134,1.14126467572869,1.3687522859638
"ipd_obese_bmi","sex","(Intercept)",0.571719370145538,0.543783511199985,0.601090381498165
"ipd_obese_bmi","sex","sexFemale",0.793328489127581,0.738605931784098,0.852105384722827
"ipd_obese_bmi","age","(Intercept)",0.363015098414805,0.341251242279257,0.386166980072913
"ipd_obese_bmi","age","age20_39",1.38202000265832,1.26451303808367,1.51044649618023
"ipd_obese_bmi","age","age40_59",2.11447590605166,1.93645185178434,2.30886626649311
"ipd_obese_bmi","smoke","(Intercept)",0.329120177357748,0.299320381172578,0.361886787393678
"ipd_obese_bmi","smoke","smokePast",2.0930743573783,1.81403575457033,2.41503523537345
"ipd_obese_bmi","smoke","smokeSmoker",1.70969269816522,1.49705601354655,1.95253156575933
"ipd_obese_bmi","edu","(Intercept)",0.573770545735037,0.516772296398664,0.637055510613346
"ipd_obese_bmi","edu","eduHighSchool",1.24310219538711,1.08032264309035,1.43040884874522
"ipd_obese_bmi","edu","eduSomeCollege",1.23068199007479,1.08138461172383,1.40059156037006
"ipd_obese_bmi","edu","eduCollegePlus",0.887371494642003,0.774167502664192,1.01712893759213
"ipd_obese_bmi","income","(Intercept)",0.541939437749882,0.510044730847223,0.575828621346216
"ipd_obese_bmi","income","income35k_75k",1.04777047184775,0.958152142177043,1.14577102461166
